"name","COUNT","SUM(dur)","SUM(self_dur)","MIN(ts)","MAX(ts)"
"VRI[MainActivity]-relayoutWindow#first=true/resize=true/vis=false/params=true/force=false/seqId=0",2,1687787,1113987,542877065517379,542877182376650
"void art::ProfileSaver::GetClassesAndMethodsHelper::CollectInternal(Handle<mirror::ClassLoader>) [kBootClassLoader = false]",3,1673750,1673750,542876444201259,542876444216337
"JIT compiling int java.util.concurrent.ConcurrentHashMap$CollectionView.size() (kind=Baseline) from /apex/com.android.art/javalib/core-oj.jar",1,1534401,33880,542876672906494,542876672906494
"performStop:com.example.shop.ui.MainActivity",2,1515808,1515808,542877198248551,542877217230478
"JIT compiling void android.app.Activity.dispatchActivityPaused() (kind=Baseline) from /system/framework/framework.jar",1,1479610,2761,542877041714332,542877041714332
"JIT compiling android.view.MotionEvent android.view.MotionEvent.obtain() (kind=Baseline) from /system/framework/framework.jar!3",1,1458932,32552,542879019394204,542879019394204
"JIT compiling void android.app.job.JobInfo.<init>(android.os.Parcel) (kind=Baseline) from /system/framework/framework.jar",1,1450286,11614,542876700800270,542876700800270
"auto skgpu::ganesh::OpsTask::onExecute(GrOpFlushState *)::(anonymous class)::operator()() const",3,1431171,1173229,542877069893760,542877230834958
"DrawFrames 226566456",1,1429609,307160,542877069348786,542877069348786
"purgePendingResources",1,1327735,1327735,542876701498108,542876701498108
"VerifyClass androidx.compose.foundation.gestures.DragGestureDetectorKt",1,1294792,1020521,542879027166339,542879027166339
"JIT compiling void android.view.MotionEvent.<init>() (kind=Baseline) from /system/framework/framework.jar!3",1,1285521,17761,542879020881443,542879020881443
"Landroidx/profileinstaller/ProfileInstaller$1;",1,1265937,175182,542877683148005,542877683148005
"Lock contention on ClassLinker classes lock (owner tid: 18446744073709551615)",25,1264372,1264372,542877101150036,542877683186208
"JIT compiling boolean android.view.ViewGroup.dispatchTouchEvent(android.view.MotionEvent) (kind=Baseline) from /system/framework/framework.jar!3",1,1247604,5417,542879035430949,542879035430949
"JIT compiling void jdk.internal.math.FloatingDecimal$BinaryToASCIIBuffer.dtoa(int, long, int, boolean) (kind=Baseline) from /apex/com.android.art/javalib/core-oj.jar",1,1176146,3359,542877085120478,542877085120478
"waiting for GPU completion 2",1,1152500,4218,542877232113838,542877232113838
"VRI[MainActivity]-relayoutWindow#first=false/resize=false/vis=true/params=false/force=false/seqId=0",1,1133334,997371,542877196886754,542877196886754
